"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"819",0.1,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",24,1,168,6,10,45000,0,202077,1995,3.6,3.7
"827",0.06,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",72,4,236,6,12,20000,3,901631,1995,0.74,0.8
"829",0.054,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,138,2,10,19000,2,202200,1995,2.846,2.9
"833",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",60,4,245,4,12,21000,4,107767,1995,1.1,1.16
"835",0.08,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,123,4,10,30000,3,202096,1995,2.315,2.395
"836",0.1,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,284,4,12,29000,0,202147,1995,1.2,1.3
"842",0.05,"E OHIO AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,454,2,10,8600,2,202089,1995,0.02,0.07
"844",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,2.5,129,2,12,19000,2,202200,1995,3.5,3.6
"845",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,4,116,4,10,23000,2,900088,1995,1.1,1.19
"860",0.06,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other","1    Asphalt",76,1,144,6,12,66000,3,900003,1995,0.2,0.26
"878",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,261,3,10,31000,3,202028,1995,0.17,0.18
"880",0.07,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,131,4,10,33000,3,107746,1995,0.83,0.9
"881",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,220,4,10,29000,0,202147,1995,0.24,0.3
"887",0.04,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",54,4,211,4,11,43000,1,900537,1995,0.46,0.5
"889",0.026,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,346,2,10,24000,2,900538,1995,1.8,1.826
"890",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,117,2,10,19000,2,202200,1995,2.3,2.4
"894",0.03,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,1,336,5,10,21000,4,107767,1995,1.5,1.53
"896",0.015,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,123,4,10,30000,3,202096,1995,2.3,2.315
"897",0.08,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,155,4,10,29000,0,202147,1995,1.7,1.78
"905",0.035,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,127,8,10,25000,1,202031,1995,0.265,0.3
"920",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,222,4,10,24000,0,201998,1995,2.86,2.9
"932",0.04,"PARK AVE W","NW","3  Principal Arterial - Other","1    Asphalt",48,4,299,4,10,19000,1,107760,1995,0.99,1.03
"937",0.08,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,215,8,12,31000,3,202028,1995,0.8,0.88
"939",0.085,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,246,4,10,33000,3,107746,1995,1.4,1.485
"940",0.02,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,124,8,10,31000,1,107770,1995,0.98,1
"947",0.064,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,176,2,10,19000,2,202200,1995,2.236,2.3
"949",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,164,4,10,26000,1,900085,1995,0.41,0.5
"957",0.05,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,47,4,11,115000,4,106558,1995,2.82,2.87
"968",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,293,4,10,36000,1,202406,1995,1.2,1.24
"972",0.1,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,257,2,10,7600,0,203017,1995,0.5,0.6
"979",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,116,3,10,24000,0,900084,1995,0.77,0.83
"984",0.035,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",56,4,294,5,10,27000,0,901637,1995,1.065,1.1
"1007",0.1,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",96,4,200,6,12,52000,0,202235,1995,0.4,0.5
"1009",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,277,4,10,36000,1,202406,1995,1.09,1.1
"1012",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,435,4,10,30000,1,202146,1995,2.62,2.68
"1019",0.09,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,116,4,10,27000,1,202071,1995,3,3.09
"1024",0.015,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,321,4,10,25000,1,202031,1995,0.185,0.2
"1043",0.05,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",123,1,276,6,10,45000,0,202077,1995,3,3.05
"1053",0.036,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,2.5,138,2,12,19000,2,202200,1995,3.6,3.636
"1057",0.1,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,103,4,10,22000,4,107768,1995,2.1,2.2
"1060",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,188,4,10,29000,0,202147,1995,0.67,0.7
"1066",0.07,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",34,4,60,4,10,10000,0,202083,1995,2,2.07
"1068",0.004,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,184,2,10,19000,2,202200,1995,2.596,2.6
"1069",0.01,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,376,4,10,32000,1,900087,1995,0.69,0.7
"1078",0.1,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,117,4,11,97000,4,106560,1995,0.7,0.8
"1085",0.015,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,206,4,10,23000,1,201997,1995,3.285,3.3
"1097",0.02,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,408,2,10,8100,3,106744,1995,0.3,0.32
"1103",0.07,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,180,8,12,31000,3,202028,1995,0.73,0.8
"1105",0.09,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,206,4,10,33000,3,107746,1995,0.5,0.59
