"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"180",0.06,"W 29TH AVE","W","4  Minor Arterial","1    Asphalt",44,4,2,10,8500,3,1.385,1.445,975
"181",0.02,"N WASHINGTON ST","N","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,39000,2,0.27,0.29,981
"182",0.11,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,4,2,10,5400,3,1.395,1.505,992
"183",0.17,"N YORK ST","N","4  Minor Arterial","1    Asphalt",40,4,2,10,3400,3,4.51,4.68,995
"184",0.05,"E 40TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,4,10,7900,1,0.96,1.01,996
"185",0.02,"20TH ST","NW","3  Principal Arterial - Other","1    Asphalt",36,1,4,10,26000,1,0,0.02,998
"186",0.04,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,2,12,17000,3,0.36,0.4,1009
"187",0.05,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",60,2.5,4,12,30000,0,0.75,0.8,1015
"188",0.05,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",36,4,2,10,4700,3,3.21,3.26,1027
"189",0.09,"CHAMPA ST","NE","4  Minor Arterial","1    Asphalt",36,4,2,10,7800,2,0.9,0.99,1029
"190",0.01,"W JEWELL AVE","W","4  Minor Arterial","1    Asphalt",48,4,2,12,12000,0,1.77,1.78,1047
"191",0.05,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",50,4,4,11,14000,1,0.66,0.71,1049
"192",0.02,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",30,4,2,12,23000,0,1.38,1.4,1050
"193",0.05,"N PECOS ST","N","4  Minor Arterial","1    Asphalt",34,4,2,10,14000,3,1.92,1.97,1051
"194",0.06,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",34,4,2,10,6900,3,2.06,2.12,1056
"195",0.12,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",36,4,2,10,20000,3,1.35,1.47,1060
"196",0.06,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,27000,0,1.04,1.1,1063
"197",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,2600,3,4.155,4.185,1066
"198",0.05,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",48,4,4,10,10000,1,1.35,1.4,1068
"199",0.1,"S QUEBEC ST","S","4  Minor Arterial","1    Asphalt",30,4,2,10,20000,3,0.18,0.28,1080
"200",0.03,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",50,4,4,10,31000,0,0.13,0.16,1081
"201",0.02,"W 13TH AVE","W","4  Minor Arterial","1    Asphalt",36,4,3,10,12000,3,0.43,0.45,1085
"202",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,3,10,8400,1,2.75,2.81,1093
"203",0.12,"S LOGAN ST","S","4  Minor Arterial","1    Asphalt",40,4,2,10,9900,3,1.88,2,1094
"204",0.13,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial","1    Asphalt",36,2.5,4,12,3200,0,3.965,4.095,1100
"205",0.12,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,4,2,10,5400,3,0.735,0.855,1102
"206",0.27,"N YORK ST","N","4  Minor Arterial","1    Asphalt",40,4,2,10,3400,3,4.24,4.51,1105
"207",0.1,"S YOSEMITE ST","S","4  Minor Arterial","1    Asphalt",24,4,4,12,15000,3,0.84,0.94,1112
"208",0.27,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",44,2.5,4,10,13000,3,1.74,2.01,1113
"209",0.06,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,1,4,10,13000,3,0.62,0.68,1118
